,BSSID,SSID,zone,subzone,dBm_Signal,Channel,Crypto
0,8c:e1:17:d0:64:0e,MASMOVIL_2G_HJsC,1,1,-88,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,a0:8e:78:71:bf:8e,vodafoneBF88,1,1,-83,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,62:8d:36:d1:75:61,Invitado-755E,1,1,-65,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,1,1,-64,1,{'WEP'}
0,e4:ab:89:34:6a:6c,MOVISTAR_6A6B,1,1,-82,1,{'WPA2/PSK'}
0,e4:ca:12:95:53:38,MIWIFI_2G_dEw3,1,1,-84,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,1,1,-76,1,{'WEP'}
0,e4:3e:d7:e2:e9:70,MiFibra-E96E,1,1,-81,1,{'WEP'}
0,a0:8e:78:71:bf:8e,vodafoneBF88,1,1,-82,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,48:8d:36:d1:75:60,MiFibra-755E,1,1,-64,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,1,1,-65,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,1,1,-63,1,{'WEP'}
0,e4:ca:12:95:53:38,MIWIFI_2G_dEw3,1,1,-86,1,"{'WPA/PSK', 'WPA2/PSK'}"
0,78:31:2b:e1:87:ec,JAZZTEL_KfdA,1,1,-76,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,1,1,-63,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,1,1,-64,1,{'WEP'}
0,62:8d:36:d1:75:61,Invitado-755E,1,1,-64,1,{'WEP'}
0,e4:3e:d7:e2:e9:70,MiFibra-E96E,1,1,-80,1,{'WEP'}
0,04:a2:22:1e:1a:16,MiFibra-1A14,1,1,-63,1,{'WEP'}
0,48:8d:36:d1:75:60,MiFibra-755E,1,1,-65,1,{'WEP'}
0,d8:0d:17:bc:ea:bc,TP-Link_EABC,1,1,-91,4,"{'WPA/PSK', 'WPA2/PSK'}"
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,1,1,-60,5,{'WEP'}
0,18:d6:c7:45:07:66,JAZZTEL_l0l4,1,1,-85,5,{'WPA2/PSK'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,1,1,-62,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,1,1,-76,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,1,1,-75,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,1,1,-63,5,{'WEP'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,1,1,-72,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,1,1,-63,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,1,1,-78,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,1,1,-78,5,{'OPN'}
0,44:fb:5a:b3:48:c0,DIGIFIBRA-PfRf,1,1,-64,5,{'WEP'}
0,ac:cf:85:52:bd:b4,vodafoneBDAC,1,1,-73,5,{'WPA2/PSK'}
0,ac:cf:85:52:bd:b5,_ONOWiFi,1,1,-73,5,{'OPN'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-59,6,{'OPN'}
0,e2:41:36:84:12:f8,MOVISTAR_12F8,1,1,-84,6,{'WPA2/PSK'}
0,d8:fb:5e:01:0c:6e,MOVISTAR_0C6D,1,1,-88,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,1,1,-69,6,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-59,6,{'OPN'}
0,e2:41:36:84:12:f8,MOVISTAR_12F8,1,1,-80,6,{'WPA2/PSK'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-59,6,{'OPN'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,1,1,-69,6,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-59,6,{'OPN'}
0,e2:41:36:84:12:f8,MOVISTAR_12F8,1,1,-83,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,1,1,-69,6,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-60,6,{'OPN'}
0,e2:41:36:84:12:f8,MOVISTAR_12F8,1,1,-83,6,{'WPA2/PSK'}
0,ec:f4:51:55:0a:a1,MiFibra-0A9F,1,1,-69,6,{'WEP'}
0,78:11:dc:e6:d0:97,rockrobo-vacuum-v1_miapD097,1,1,-60,6,{'OPN'}
0,dc:53:7c:08:b0:88,ONO8AC2,1,1,-88,9,"{'WPA/PSK', 'WPA2/PSK'}"
0,62:8d:36:6d:96:f3,MiFibra-96EF-24G,1,1,-87,9,{'WEP'}
0,b0:7f:b9:a7:84:76,Navi Wifi 5G_2GEXT,1,1,-84,10,{'WEP'}
0,b0:7f:b9:a7:84:76,Navi Wifi 5G_2GEXT,1,1,-83,10,{'WEP'}
0,b0:7f:b9:a7:84:76,Navi Wifi 5G_2GEXT,1,1,-85,10,{'WEP'}
0,a8:9a:93:67:68:c0,MiFibra-68C0,1,1,-85,11,{'WEP'}
0,a4:08:f5:db:44:06,vodafone4400,1,1,-82,11,"{'WPA/PSK', 'WPA2/PSK'}"
0,00:4a:77:e8:1b:c6,TontoElQueLoLea-2.4G,1,1,-36,11,"{'WPA/PSK', 'WPA2/PSK'}"
0,04:a2:22:1e:74:16,MiFibra-7414,1,1,-87,11,{'WEP'}
0,f4:06:8d:8c:ab:b1,devolo-bb1,1,1,-68,11,{'WPA2/PSK'}
0,50:7e:5d:67:53:ed,Orange-53EB,1,1,-51,11,"{'WPA/PSK', 'WPA2/PSK'}"
